,URL,DESCRIPTION
0,https://seeclickfix.com/files/issue_images/0025/5498/20140706_144514.jpg,No one has trimmed dis @#$% of tree yet! No one can see around dis @#$% to make da turn! On-comin' traffic will slam into ya! 
1,https://seeclickfix.com/files/issue_images/0033/4736/1433461434676.jpg,"Tree brace broke off, tree is now limping to the ground."
2,https://seeclickfix.com/files/issue_images/0036/3211/SCF__20150804_1557171282600719.jpg,Please keep a eye on the redwood tree is drying up and may fall.
3,https://seeclickfix.com/files/issue_images/0044/7131/1455909791493.jpg,Dead tree at 10th and frontage. 
4,https://seeclickfix.com/files/issue_images/0068/7599/1486861061423.jpg,Tree blocking pedestrian walkway on Lake Park near overpass. 
5,https://seeclickfix.com/files/issue_images/0069/6018/1487793993180.jpg,I will also call. Tree fell and hangs over road. Will likely fall onto Escher drive and block traffic. Trucks may not be able to pass
6,https://seeclickfix.com/files/issue_images/0072/2918/IMG_8630.jpg,"I don't think this is an emergency, but a preventative. 
A tree on the west side of Jean St is partially hollowed at the base. The concern is if we get more rain the tree may be compromised."
7,https://seeclickfix.com/files/issue_images/0073/9284/1492303269506.jpg,DANGEROUS TREE dead and leaning at 70-degree angle over Skyline Blvd @ Brandy Rock. TAG #325. 
8,https://seeclickfix.com/files/issue_images/0076/3952/1494288401255.jpg,"Trees on union between 12 and 14 are awful.  You can't walk on west side of street.  They don't grow straight they grow crooked, and are more like bushes than trees.  One was even cut down to a 3' stump and is now really growing like a bush.  Can we rip these out for something better?  "
9,https://seeclickfix.com/files/issue_images/0086/9815/1505145924374.jpg,Trees need to be trimmed 
10,https://seeclickfix.com/files/issue_images/0084/0862/img-8230576-1701562983.jpg,"Trees need to be trimmed, obscuring view of sign indicating single traffic lane."
11,https://seeclickfix.com/files/issue_images/0027/0243/1419283555375.jpg,Overgrown trees are creating a visibility hazard for traffic coming down bway terrace.  They have overgrown the street lamp as well.  Need to be cut down/cut back.
12,https://seeclickfix.com/files/issue_images/0036/2374/1438614726188.jpg,Damaged tree needs lots of TLC.  Last tree on east side Telegraph before W MacArthur.  Could be a hazard in major storm. If necessary please replace - don't leave a hole. 
13,https://seeclickfix.com/files/issue_images/0007/1933/915e860.jpg,Tree needs to be trimmed tangled in wires 
14,https://seeclickfix.com/files/issue_images/0021/3884/tree_blocking_bus_stop_Telegraph_51st.JPG,Tree is blocking bus stop.  Please have tree trimmed or removed so drivers can see if passengers are waiting at the bus stop. Thank you!
15,https://seeclickfix.com/files/issue_images/0007/9069/8133ec0.jpg,"The City of Oakland, Department of Public Works, Tree Services, cut down a mature tree (9"" dia at base) in very good condition in front of 737 2nd street.  I've been told that the Public Works tree trimmers damaged the tree, then declared it a hazard and cut it down.  The homeowners at 737 2nd planted and cared for this tree.  Those responsible for it's demise need to replace it with a tree of similar size and  type."
16,https://seeclickfix.com/files/issue_images/0015/3815/IMG_3050.jpg,Trees on public sidewalk need to be trimmed.  They are hanging too low.
17,https://seeclickfix.com/files/issue_images/0015/5767/Tree_root_damage_Brookside_Lane.JPG,"Acacia trees within public right-of-way alongside public stairway (Brookside Lane, between Ocean View Dr. and Brookside Ave.) are breaking wall and rotating column.  This is a historic structure.  Trees were not planted by adjacent neighbor -- they need to be cut down before further damage occurs.  FYI property line is at wooden fence."
18,https://seeclickfix.com/files/issue_images/0008/5283/tia61054.jpg,Tree branches touching electric wires
19,https://seeclickfix.com/files/issue_images/0008/7522/6dc4560.jpeg,Large amount of debris that is blocking sidewalk and part of the street. Large blight issue
20,https://seeclickfix.com/files/issue_images/0056/9112/SCF__20160810_085912-1932560046.jpg,Tree needs pruning. Canopy too low.
21,https://seeclickfix.com/files/issue_images/0009/2035/2012-10-10_13-50-37_230.jpg,
22,https://seeclickfix.com/files/issue_images/0017/4924/1391463670689.jpg,Tree leaning dangerously at intersection of skyline blvd and grass valley road. Could take down power lines and/or land on peds or road
23,https://seeclickfix.com/files/issue_images/0009/6609/1353872975718.jpg,Tree needs help
24,https://seeclickfix.com/files/issue_images/0009/6973/1354232837046.jpg,Broken tree stake. 
