,REQUEST_DATE,SOURCE_URL,DESCRIPTION,LATITUDE,LONGITUDE
0,11/05/2014 09:30:27 AM,https://seeclickfix.com/files/issue_images/0025/5498/20140706_144514.jpg,No one has trimmed dis @#$% of tree yet! No one can see around dis @#$% to make da turn! On-comin' traffic will slam into ya! ,37.76962788,-122.17594163
1,06/04/2015 04:50:18 PM,https://seeclickfix.com/files/issue_images/0033/4736/1433461434676.jpg,"Tree brace broke off, tree is now limping to the ground.",37.7912208,-122.2436748
2,08/03/2015 01:00:26 PM,https://seeclickfix.com/files/issue_images/0036/3211/SCF__20150804_1557171282600719.jpg,Please keep a eye on the redwood tree is drying up and may fall.,37.79969924,-122.24828411
3,02/19/2016 11:30:52 AM,https://seeclickfix.com/files/issue_images/0044/7131/1455909791493.jpg,Dead tree at 10th and frontage. ,37.81181288,-122.30305025
4,02/11/2017 04:58:11 PM,https://seeclickfix.com/files/issue_images/0068/7599/1486861061423.jpg,Tree blocking pedestrian walkway on Lake Park near overpass. ,37.80725502,-122.24162372
5,02/21/2017 11:21:37 AM,https://seeclickfix.com/files/issue_images/0069/6018/1487793993180.jpg,I will also call. Tree fell and hangs over road. Will likely fall onto Escher drive and block traffic. Trucks may not be able to pass,37.83018252,-122.19900274
6,03/28/2017 09:54:59 AM,https://seeclickfix.com/files/issue_images/0072/2918/IMG_8630.jpg,"I don't think this is an emergency, but a preventative. 
A tree on the west side of Jean St is partially hollowed at the base. The concern is if we get more rain the tree may be compromised.",37.81772275,-122.24788798
7,04/15/2017 05:42:32 PM,https://seeclickfix.com/files/issue_images/0073/9284/1492303269506.jpg,DANGEROUS TREE dead and leaning at 70-degree angle over Skyline Blvd @ Brandy Rock. TAG #325. ,37.79114189,-122.15186095
8,05/11/2017 05:19:54 PM,https://seeclickfix.com/files/issue_images/0076/3952/1494288401255.jpg,"Trees on union between 12 and 14 are awful.  You can't walk on west side of street.  They don't grow straight they grow crooked, and are more like bushes than trees.  One was even cut down to a 3' stump and is now really growing like a bush.  Can we rip these out for something better?  ",37.80859858,-122.28883275
9,09/11/2017 09:05:55 AM,https://seeclickfix.com/files/issue_images/0086/9815/1505145924374.jpg,Trees need to be trimmed ,37.82484582,-122.28934379
10,08/06/2017 10:30:13 PM,https://seeclickfix.com/files/issue_images/0084/0862/img-8230576-1701562983.jpg,"Trees need to be trimmed, obscuring view of sign indicating single traffic lane.",37.77554471,-122.2231282
11,12/22/2014 01:30:43 PM,https://seeclickfix.com/files/issue_images/0027/0243/1419283555375.jpg,Overgrown trees are creating a visibility hazard for traffic coming down bway terrace.  They have overgrown the street lamp as well.  Need to be cut down/cut back.,37.83966927,-122.21968332
12,08/03/2015 08:20:30 AM,https://seeclickfix.com/files/issue_images/0036/2374/1438614726188.jpg,Damaged tree needs lots of TLC.  Last tree on east side Telegraph before W MacArthur.  Could be a hazard in major storm. If necessary please replace - don't leave a hole. ,37.82639558,-122.26519403
13,03/25/2012 11:58:12 AM,https://seeclickfix.com/files/issue_images/0007/1933/915e860.jpg,Tree needs to be trimmed tangled in wires ,37.82240215,-122.28538058
14,07/02/2014 08:40:26 AM,https://seeclickfix.com/files/issue_images/0021/3884/tree_blocking_bus_stop_Telegraph_51st.JPG,Tree is blocking bus stop.  Please have tree trimmed or removed so drivers can see if passengers are waiting at the bus stop. Thank you!,37.83718089,-122.26215203
15,06/08/2012 02:50:14 PM,https://seeclickfix.com/files/issue_images/0007/9069/8133ec0.jpg,"The City of Oakland, Department of Public Works, Tree Services, cut down a mature tree (9"" dia at base) in very good condition in front of 737 2nd street.  I've been told that the Public Works tree trimmers damaged the tree, then declared it a hazard and cut it down.  The homeowners at 737 2nd planted and cared for this tree.  Those responsible for it's demise need to replace it with a tree of similar size and  type.",37.79868353,-122.28319019
