,IMAGE_URL_0,DESCRIPTION_0,SEECLICKFIX_DATE_0,IMAGE_URL_1,DESCRIPTION_1,SEECLICKFIX_DATE_1,IMAGE_URL_2,DESCRIPTION_2,SEECLICKFIX_DATE_2,IMAGE_URL_3,DESCRIPTION_3,SEECLICKFIX_DATE_3,IMAGE_URL_4,DESCRIPTION_4,SEECLICKFIX_DATE_4,IMAGE_URL_5,DESCRIPTION_5,SEECLICKFIX_DATE_5,OAK_311_DATE,LATITUDE,LONGITUDE
0,https://seeclickfix.com/files/issue_images/0013/9389/1374115823614.jpg,Overgrown and blocking side walk. ,2013-07-17T22:51:11-04:00,,"Many years ago, the City of Oakland staff planted a tree in front of my house. This tree is now swooping to one side and I am afraid that it will fall onto my car.  Also the roots of this tree have made the sidewalk in front of my house uneven. One side of the pavement is about 1.25 inches higher than the other.  One person has already tripped while walking in front of our house.  Can you remove the tree altogether?  Thank you.",2016-01-29T12:34:56-05:00,,,,,,,,,,,,,11/04/2017 03:30:20 PM,37.80309389,-122.24230119
1,https://seeclickfix.com/files/issue_images/0015/3815/IMG_3050.jpg,Trees on public sidewalk need to be trimmed.  They are hanging too low.,2013-09-18T14:55:11-04:00,https://seeclickfix.com/files/issue_images/0018/3623/1395324601897.jpg,Treedown at fourth and Alice,2014-03-20T10:10:48-04:00,https://seeclickfix.com/files/issue_images/0038/2325/1442265037649.jpg,Huge branch fallen down in street,2015-09-14T17:11:33-04:00,https://seeclickfix.com/files/issue_images/0040/5347/1447275193467.jpg,"Broken tree branch obstructing: parking, traffic lane and sidewalk. ",2015-11-11T15:55:10-05:00,https://seeclickfix.com/files/issue_images/0037/7954/1441385496308.jpg,Huge branch on sidewalk,2015-09-04T12:53:07-04:00,https://seeclickfix.com/files/issue_images/0040/5827/1447261492727.jpg,Branch broken,2015-11-12T19:21:18-05:00,11/06/2017 02:08:59 PM,37.79439274,-122.2719478
2,,Branches cut by city during Dec storms have been left sitting on the owner's property. ,2015-01-30T17:04:12-05:00,,,,,,,,,,,,,,,,05/18/2018 03:20:47 PM,37.7835821,-122.14179659
3,https://seeclickfix.com/files/issue_images/0015/1519/1378656882979.jpg,This tree needs to be replaced!,2013-09-08T12:15:58-04:00,https://seeclickfix.com/files/issue_images/0028/6688/IMG_4548.JPG,The residence located at 2247 E. 15th Street has trees growing from inside their property which over hang on to Munson Way and preventing cars from passing thru without causing the branches to make contact with the car. This is especially true with bigger vehicles & commercial. They do not have enough clearance to drive a vehicle thru safely without stricking the car. The home owners have improperly planted trees which are over grown & not being maintained. I believe this is a Municipal Code Violation which should be corrected with trees being removed due to being improperly planted or trimmed high enough for a normal clearance of a car or commercial truck being able to pass thru safely.,2015-02-08T19:01:39-05:00,,,,,,,,,,,,,11/08/2018 02:29:43 PM,37.78571941,-122.23416308
4,https://seeclickfix.com/files/issue_images/0030/9608/1428540255250.jpg,need some maintainance. ,2015-04-08T20:44:23-04:00,,hazardous tree at the residence:  3232 Elmwood Avenue. Tree well far beyond the sidewalk and the tree branches are so low and heavy you can't walk through the sidewalk.  Peoplel must walk around the sidewalk into the street to get by putting children at risk. ,2016-11-04T12:32:16-04:00,https://seeclickfix.com/files/issue_images/0022/9776/1407986293963.jpg,Large fallen tree branch (on my car - I was able to drive it away from the branch),2014-08-13T23:18:33-04:00,https://seeclickfix.com/files/issue_images/0022/9741/1407980737420.jpg,Tree fallen in street. Blocking Ford st 94601,2014-08-13T21:46:17-04:00,,"The palm tree in front of 614 Lancaster is full of dead leaves/branches and is a fire hazard. It needs to be trimmed asap. Pictures of the tree can be seen here: https://www.google.com/maps/place/3057+E+7th+St,+Oakland,+CA+94601/@37.7724298,-122.2295578,3a,75y,132.77h,103.29t/data=!3m7!1e1!3m5!1sIBRN4sazyZ0FwPuA_EG63w!2e0!6s%2F%2Fgeo2.ggpht.com%2Fcbk%3Fpanoid%3DIBRN4sazyZ0FwPuA_EG63w%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D31.292292%26pitch%3D0%26thumbfov%3D100!7i13312!8i6656!4m5!3m4!1s0x808f868d37383801:0xedf176254a1c64ec!8m2!3d37.7725655!4d-122.2295961",2016-12-22T17:28:00-05:00,,,,10/14/2017 02:21:30 PM,37.77205607,-122.22982612
5,https://seeclickfix.com/files/issue_images/0016/5217/1385222093522.jpg,Please come trim these trees they are too tall and will eventually fall on someone's house or on someone like it did on Austin Street. ,2013-11-23T10:57:46-05:00,https://seeclickfix.com/files/issue_images/0017/8572/1393182074942.jpg,Tree uprooted looks like it was hit by a car. Fruitvale and Foothill. ,2014-02-23T14:03:37-05:00,https://seeclickfix.com/files/issue_images/0016/5218/1385222314241.jpg,Please come trim the trees in the creek tree fell so close to neighbors house. It's better to trim them before it becomes an emergency and someone sues.,2013-11-23T10:59:48-05:00,,Overgrown creek area with dumping of trash causing rats and mice infestation in area,2014-10-03T18:35:44-04:00,https://seeclickfix.com/files/issue_images/0034/2617/1434996028477.jpg,County eucalyptus trees overhanging private property/houses with many children present! Please help!,2015-06-22T14:01:52-04:00,https://seeclickfix.com/files/issue_images/0088/2134/img-SCF__20170925_184750-1778273664-772899708.jpeg,The tree canopy is too low.  It has attracted illegal activity. Please trim the tree up. ,2017-09-25T22:12:12-04:00,11/26/2018 05:18:44 PM,37.78651235,-122.2258572
6,,"On MacArthur in the westbound direction, a tree blocks the stop sign. At night, drivers cannot see the sign or paint on the road and run the intersection.  Please trim the tree.",2015-04-08T03:27:43-04:00,https://seeclickfix.com/files/issue_images/0025/5498/20140706_144514.jpg,No one has trimmed dis @#$% of tree yet! No one can see around dis @#$% to make da turn! On-comin' traffic will slam into ya! ,2014-11-05T12:21:40-05:00,https://seeclickfix.com/files/issue_images/0021/5953/20140706_144509.jpg, Untrimmed bottom foliage blocking driver's vision for turning at intersection. ,2014-07-08T02:16:59-04:00,https://seeclickfix.com/files/issue_images/0080/2094/1498151418966.jpg,Blocked sidewalk and low over head.,2017-06-22T13:11:43-04:00,,,,,,,04/26/2013 08:21:25 AM,37.77222138,-122.1730519
7,https://seeclickfix.com/files/issue_images/0023/6870/Verizon_Imports_349.jpg,"The landscaping along the East side of Pleasant Valley Ave between the Rockridge Shopping Center and Montgomery Street is in dire need of attention. The undergrowth and downfall represent a fire hazard, and debris is enroaching on the public sidewalk. The Eucalyptus trees need thinning; several major branches are precariously hanging over the roadway. ",2014-09-02T19:03:44-04:00,,,,,,,,,,,,,,,,06/08/2014 12:30:16 AM,37.83153588,-122.24889381
8,https://seeclickfix.com/files/issue_images/0030/1663/tia-519638297.jpg,downed tree from car crash,2015-03-20T18:57:38-04:00,,Tree down blocking rt lane east bound Keller ave ,2014-05-02T19:10:57-04:00,,"downed trees in median strip
this has occurred over time from accidents, the latest one last week. the trees have never been replaced. the median is now patchy with missing and dying trees. ",2014-07-25T16:05:27-04:00,,,,,,,,,,07/25/2014 01:10:15 PM,37.7727361,-122.14304459
9,https://seeclickfix.com/files/issue_images/0032/4264/1431450149764.jpg,Possible campfire in woods on south side 580 as per smokey smell while walking over ramp. Have OFD check out?,2015-05-12T13:02:57-04:00,https://seeclickfix.com/files/issue_images/0068/7599/1486861061423.jpg,Tree blocking pedestrian walkway on Lake Park near overpass. ,2017-02-11T19:58:24-05:00,https://seeclickfix.com/files/issue_images/0012/8972/weeds.jpg,"Poison Oak, ivy, and thorned vines are growing down from the lot on the hill have encroached onto the sidewalk below to the point that two people cannot pass through side-by-side, and someone in a wheelchair or a cart would have a hard time getting through. This lot belongs to the owners of the 555-561 Merritt Ave. complex above it.",2013-06-02T13:25:07-04:00,https://seeclickfix.com/files/issue_images/0008/4567/Tunnel_of_Darkness2.jpg,"Will post on Facebook for comment - PLEASE comment!  On the corner of Wesley and Hillgirt Circle, Oakland, is a section of overgrown bushes, aloes and small trees which has grown overarching the sidewalk (from street side) and into the sidewalk from the homeowner's fence, impeding visibility ESPECIALLY in the darkness.  It is a dangerous and unlighted section of sidewalk.  At least one person was attacked in this location (my daughter).  Passers by avoid this section of the block and for good reason, walking in the street instead which is not safe either.  The bushes are so thick that a person could step back into them and be completely concealed from view.  There is no streelight.  The homeowners have declined to maintain the area outside their fence.  As you can see from the photos, the area is very overgrown and impinging on the sidewalk.  Imagine the person in the photograph dressed in black, at night.  The Feet on the Street neighborhood lighting patrol group has observed this area; the entire neighborhood deems it to be unsafe; it was reported to public works last year by Hoang Banh, our Community Rep from OPD; neighbors on the Cleveland Heights Neighbors email group addressed the homeowners who have advised pedestrians ""cross the street and walk there"".  FOS members attempted to petition the city for a streelight (1.5 years ago) but funding ran out before the petition was processed.  Thank you for your attention.  UPDATE:  PARTIAL IMPROVEMENT BY HOMEOWNERS - THERE STILL NEEDS TO BE WORK DONE BY REMOVAL OF LARGE PINE TREES (NOT ALL PERHAPS EVERY OTHER ONE), ADDITIONAL STREET LIGHT, AND REMOVAL OF OVERGROWTH FROM YARD OVER SIDEWALK TO STREET.",2012-07-31T15:52:56-04:00,,,,,,,08/02/2014 04:54:46 PM,37.80613184,-122.24446294
